Customer_ID,Age,Gender,Country,Visit_Date,Seating_Region,Ticket_Price,Num_Tickets,Merchandise_Spend,Drink_Spend,Repeat_Visit,Satisfaction_Score,Recommendation_Likelihood
CUST_0001,56,Male,Sweden,2025-06-08 00:00:00,VIP,200,2,35.5,4.94,0,10,8
CUST_0002,69,Female,Australia,2025-04-10 00:00:00,Premium,150,4,96.09,8.37,1,7.9,10
CUST_0003,46,Female,USA,2025-04-11 00:00:00,Premium,150,2,37.05,0.38,0,8.3,10
CUST_0004,32,Male,Australia,2025-02-09 00:00:00,High Economy,100,4,34.22,16.79,0,7.3,8
CUST_0005,60,Male,USA,2025-02-20 00:00:00,High Economy,100,1,63.07,38.77,1,8.2,8
CUST_0006,25,Female,Japan,2025-07-27 00:00:00,Premium,150,3,34.56,17.37,0,8.2,8
CUST_0007,38,Female,Germany,2025-07-01 00:00:00,VIP,200,2,6.81,20,1,9.4,8
CUST_0008,56,Other,Japan,2025-06-14 00:00:00,VIP,200,2,71.64,62.26,0,8.1,10
CUST_0009,36,Male,UK,2025-01-29 00:00:00,Economy,60,4,87.49,5.1,0,8.2,8
CUST_0010,40,Female,Sweden,2025-05-29 00:00:00,Premium,150,4,41.95,38.67,1,8.8,7
CUST_0011,28,Male,USA,2025-02-04 00:00:00,High Economy,100,2,60.59,14.21,0,9.3,4
CUST_0012,28,Female,Australia,2025-08-01 00:00:00,Economy,60,4,38.5,8.39,1,6.5,7
CUST_0013,41,Female,Germany,2025-06-27 00:00:00,High Economy,100,2,55.28,21.44,0,6.1,6
CUST_0014,53,Male,USA,2025-07-04 00:00:00,Economy,60,2,22.64,9.86,0,10,8
CUST_0015,57,Male,Australia,2025-06-25 00:00:00,Premium,150,2,201.45,10.49,1,9.1,6
CUST_0016,41,Male,Sweden,2025-07-18 00:00:00,Economy,60,1,167.97,31.23,0,7.7,9
CUST_0017,20,Male,Japan,2025-07-08 00:00:00,VIP,200,4,19.63,34.44,1,8,10
CUST_0018,39,Male,Sweden,2025-01-02 00:00:00,VIP,200,3,48.16,17.11,0,7.4,8
CUST_0019,19,Female,France,2025-01-22 00:00:00,High Economy,100,3,57.6,54.71,0,8.3,7
CUST_0020,41,Female,UK,2025-08-06 00:00:00,Economy,60,4,59.44,11.69,0,6.5,8
CUST_0021,61,Female,France,2025-02-19 00:00:00,Economy,60,2,97.61,68.6,1,9.3,10
CUST_0022,47,Other,Germany,2025-06-17 00:00:00,VIP,200,3,31.27,42.89,0,8.3,10
CUST_0023,55,Female,USA,2025-04-22 00:00:00,Premium,150,3,68.39,41.68,0,8.3,6
CUST_0024,19,Female,Germany,2025-06-05 00:00:00,Economy,60,4,43.24,27.79,1,6.7,6
CUST_0025,38,Female,Japan,2025-03-31 00:00:00,Premium,150,3,13.9,24.69,1,8.8,6
CUST_0026,50,Male,Australia,2025-04-10 00:00:00,Economy,60,2,81.34,20.07,0,6.7,6
CUST_0027,29,Male,Sweden,2025-01-17 00:00:00,Economy,60,4,47.91,39.33,0,7,8
CUST_0028,39,Male,France,2025-01-14 00:00:00,High Economy,100,2,41.27,36.13,0,8.1,7
CUST_0029,61,Male,France,2025-03-14 00:00:00,Premium,150,3,45.78,22.67,0,10,7
CUST_0030,42,Male,Japan,2025-03-01 00:00:00,High Economy,100,3,82.47,11.66,0,8.3,10
CUST_0031,66,Male,France,2025-08-31 00:00:00,Premium,150,2,26.76,3.76,0,4.1,9
CUST_0032,44,Female,Japan,2025-04-20 00:00:00,Economy,60,1,15.04,27.82,0,7,5
CUST_0033,59,Female,Germany,2025-04-09 00:00:00,High Economy,100,3,32.72,18.09,1,9,10
CUST_0034,45,Male,Sweden,2025-02-04 00:00:00,Economy,60,1,58.66,29.3,1,6.3,9
CUST_0035,33,Male,USA,2025-02-01 00:00:00,VIP,200,3,31.32,32.74,0,9.2,9
CUST_0036,32,Male,Australia,2025-05-10 00:00:00,Economy,60,1,64.36,1.12,0,8.2,7
CUST_0037,64,Female,USA,2025-08-11 00:00:00,High Economy,100,1,68.31,10.83,0,9.5,8
